"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.987346422E0,5.611833930E-2,1.410211563E0,-4.292227626E-1,1.475153585E0
1.997345155E0,6.224654242E-2,1.197009087E0,-4.324352741E-1,1.274247092E0
2.007343888E0,8.613916487E-2,9.934911728E-1,-4.130165577E-1,1.079364324E0
2.017342621E0,8.677614480E-2,7.661075592E-1,-3.950451016E-1,8.663206819E-1
2.027341354E0,9.509338439E-2,5.772104263E-1,-3.922602534E-1,7.043314095E-1
2.037340020E0,1.131937653E-1,2.711114883E-1,-3.618393540E-1,4.660922502E-1
2.047338753E0,1.235393584E-1,-7.544231415E-2,-3.386480212E-1,3.682879283E-1
2.057337519E0,1.329634637E-1,-3.213062286E-1,-3.118501902E-1,4.670840570E-1
2.067336219E0,1.335704178E-1,-5.598363876E-1,-2.717393637E-1,6.364747593E-1
2.077334985E0,1.489738822E-1,-8.030633926E-1,-2.404177189E-1,8.514133601E-1
2.087333785E0,1.311816871E-1,-9.744129181E-1,-2.134758234E-1,1.006111871E0
2.097332551E0,1.183976158E-1,-1.234315872E0,-1.600486040E-1,1.250267661E0
2.107331317E0,1.179620028E-1,-1.530182838E0,-1.239477992E-1,1.539719978E0
2.117330083E0,1.037666649E-1,-1.773454666E0,-1.126368642E-1,1.780055066E0
2.127328849E0,7.888977975E-2,-1.961779594E0,-6.658554077E-2,1.964493932E0
2.137327615E0,7.708353549E-2,-2.102329254E0,-5.518686771E-2,2.104465670E0
2.147326315E0,4.802373797E-2,-2.202373505E0,-5.293852091E-2,2.203533031E0
2.157325081E0,3.302767873E-2,-2.271426201E0,-4.488807917E-2,2.272109758E0
2.167323847E0,1.550027728E-2,-2.371730804E0,-5.241423845E-2,2.372360537E0
2.177322547E0,-9.049203247E-3,-2.524841309E0,-1.265883446E-3,2.524857842E0
2.187321313E0,-2.844247222E-2,-2.606274605E0,-4.191696644E-3,2.606433168E0
2.197320079E0,-3.980477154E-2,-2.599201202E0,-1.756441593E-2,2.599565313E0
2.207318779E0,-6.896197051E-2,-2.505992889E0,-2.795457840E-3,2.506943144E0
2.217317545E0,-5.822203308E-2,-2.458355904E0,-5.322939157E-2,2.459621296E0
2.227316311E0,-4.313435405E-2,-2.312579155E0,-8.726197481E-2,2.314626875E0
2.237315077E0,-5.000146478E-2,-2.245798111E0,-7.555913925E-2,2.247625077E0
2.247313843E0,-3.590148315E-2,-2.193339348E0,-1.281133890E-1,2.197371032E0
2.257312609E0,-2.698029019E-2,-2.028228760E0,-1.027548313E-1,2.031009206E0
2.267311375E0,6.465543061E-3,-1.788759232E0,-1.381568909E-1,1.794098302E0
2.277310175E0,8.995354176E-3,-1.539573669E0,-1.578671336E-1,1.547672456E0
2.287309008E0,2.051949501E-2,-1.307046890E0,-1.573304534E-1,1.316641749E0
2.297307908E0,2.172916383E-2,-1.036153793E0,-1.728738546E-1,1.050700818E0
2.307306874E0,5.006357096E-3,-8.322639465E-1,-1.641091108E-1,8.483042736E-1
2.317305807E0,3.720781580E-2,-6.642761230E-1,-1.720468998E-1,6.872025356E-1
2.327304807E0,1.312690042E-2,-4.005374908E-1,-1.777758002E-1,4.384139964E-1
